MSE_train,MSE_val,accuracy_train,accuracy_val
4.028620897943890368e-03,3.629156131933950011e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.391292151930027331e-03,3.193536021782061689e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.045511854336012403e-03,2.920342553289064988e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.817588265941933182e-03,2.733502242289766442e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.657925949410297126e-03,2.598794704727545608e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.538447254229077125e-03,2.494472851151529648e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.444896565447020158e-03,2.411781845590736315e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.370086873253417475e-03,2.345007142830121509e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.309583195723420145e-03,2.290781513681706093e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.259601246522263077e-03,2.245777596047596279e-03,0.000000000000000000e+00,0.000000000000000000e+00
